nflweek,rotat,date,kickoff,side,opp,awayhome
6,Bills6,10/14/2024,20:15:00,Bills,Jets,away
7,Saints7,10/17/2024,20:15:00,Saints,Broncos,home
7,Broncos7,10/17/2024,20:15:00,Broncos,Saints,away
7,Jaguars7,10/20/2024,9:30:00,Jaguars,Patriots,home
7,Patriots7,10/20/2024,9:30:00,Patriots,Jaguars,away
7,Falcons7,10/20/2024,13:00:00,Falcons,Seahawks,home
7,Bills7,10/20/2024,13:00:00,Bills,Titans,home
7,Browns7,10/20/2024,13:00:00,Browns,Bengals,home
7,Packers7,10/20/2024,13:00:00,Packers,Texans,home
7,Colts7,10/20/2024,13:00:00,Colts,Dolphins,home
7,Vikings7,10/20/2024,13:00:00,Vikings,Lions,home
7,Giants7,10/20/2024,13:00:00,Giants,Eagles,home
7,Seahawks7,10/20/2024,13:00:00,Seahawks,Falcons,away
7,Titans7,10/20/2024,13:00:00,Titans,Bills,away
7,Bengals7,10/20/2024,13:00:00,Bengals,Browns,away
7,Texans7,10/20/2024,13:00:00,Texans,Packers,away
7,Dolphins7,10/20/2024,13:00:00,Dolphins,Colts,away
7,Lions7,10/20/2024,13:00:00,Lions,Vikings,away
7,Eagles7,10/20/2024,13:00:00,Eagles,Giants,away
7,Rams7,10/20/2024,16:05:00,Rams,Raiders,home
7,Commanders7,10/20/2024,16:05:00,Commanders,Panthers,home
7,Raiders7,10/20/2024,16:05:00,Raiders,Rams,away
7,Panthers7,10/20/2024,16:05:00,Panthers,Commanders,away
7,49ers7,10/20/2024,16:25:00,49ers,Chiefs,home
7,Chiefs7,10/20/2024,16:25:00,Chiefs,49ers,away
7,Steelers7,10/20/2024,20:20:00,Steelers,Jets,home
7,Jets7,10/20/2024,20:20:00,Jets,Steelers,away
7,Buccaneers7,10/21/2024,20:15:00,Buccaneers,Ravens,home
7,Ravens7,10/21/2024,20:15:00,Ravens,Buccaneers,away
7,Cardinals7,10/21/2024,21:00:00,Cardinals,Chargers,home
7,Chargers7,10/21/2024,21:00:00,Chargers,Cardinals,away
8,Rams8,10/24/2024,20:15:00,Rams,Vikings,home
8,Vikings8,10/24/2024,20:15:00,Vikings,Rams,away
8,Browns8,10/27/2024,13:00:00,Browns,Ravens,home
8,Lions8,10/27/2024,13:00:00,Lions,Titans,home
8,Texans8,10/27/2024,13:00:00,Texans,Colts,home
8,Jaguars8,10/27/2024,13:00:00,Jaguars,Packers,home
8,Dolphins8,10/27/2024,13:00:00,Dolphins,Cardinals,home
8,Patriots8,10/27/2024,13:00:00,Patriots,Jets,home
8,Buccaneers8,10/27/2024,13:00:00,Buccaneers,Falcons,home
8,Commanders8,10/27/2024,13:00:00,Commanders,Bears,home
8,Ravens8,10/27/2024,13:00:00,Ravens,Browns,away
8,Titans8,10/27/2024,13:00:00,Titans,Lions,away
8,Colts8,10/27/2024,13:00:00,Colts,Texans,away
8,Packers8,10/27/2024,13:00:00,Packers,Jaguars,away
8,Cardinals8,10/27/2024,13:00:00,Cardinals,Dolphins,away
8,Jets8,10/27/2024,13:00:00,Jets,Patriots,away
8,Falcons8,10/27/2024,13:00:00,Falcons,Buccaneers,away
8,Bears8,10/27/2024,13:00:00,Bears,Commanders,away
8,Chargers8,10/27/2024,16:05:00,Chargers,Saints,home
8,Seahawks8,10/27/2024,16:05:00,Seahawks,Bills,home
8,Saints8,10/27/2024,16:05:00,Saints,Chargers,away
8,Bills8,10/27/2024,16:05:00,Bills,Seahawks,away
8,Bengals8,10/27/2024,16:25:00,Bengals,Eagles,home
8,Broncos8,10/27/2024,16:25:00,Broncos,Panthers,home
8,Raiders8,10/27/2024,16:25:00,Raiders,Chiefs,home
8,Eagles8,10/27/2024,16:25:00,Eagles,Bengals,away
8,Panthers8,10/27/2024,16:25:00,Panthers,Broncos,away
8,Chiefs8,10/27/2024,16:25:00,Chiefs,Raiders,away
8,49ers8,10/27/2024,20:20:00,49ers,Cowboys,home
8,Cowboys8,10/27/2024,20:20:00,Cowboys,49ers,away
8,Steelers8,10/28/2024,20:15:00,Steelers,Giants,home
8,Giants8,10/28/2024,20:15:00,Giants,Steelers,away
9,Jets9,10/31/2024,20:15:00,Jets,Texans,home
9,Texans9,10/31/2024,20:15:00,Texans,Jets,away
9,Falcons9,11/3/2024,13:00:00,Falcons,Cowboys,home
9,Ravens9,11/3/2024,13:00:00,Ravens,Broncos,home
9,Bills9,11/3/2024,13:00:00,Bills,Dolphins,home
9,Panthers9,11/3/2024,13:00:00,Panthers,Saints,home
9,Bengals9,11/3/2024,13:00:00,Bengals,Raiders,home
9,Browns9,11/3/2024,13:00:00,Browns,Chargers,home
9,Vikings9,11/3/2024,13:00:00,Vikings,Colts,home
9,Giants9,11/3/2024,13:00:00,Giants,Commanders,home
9,Titans9,11/3/2024,13:00:00,Titans,Patriots,home
9,Cowboys9,11/3/2024,13:00:00,Cowboys,Falcons,away
9,Broncos9,11/3/2024,13:00:00,Broncos,Ravens,away
9,Dolphins9,11/3/2024,13:00:00,Dolphins,Bills,away
9,Saints9,11/3/2024,13:00:00,Saints,Panthers,away
9,Raiders9,11/3/2024,13:00:00,Raiders,Bengals,away
9,Chargers9,11/3/2024,13:00:00,Chargers,Browns,away
9,Colts9,11/3/2024,13:00:00,Colts,Vikings,away
9,Commanders9,11/3/2024,13:00:00,Commanders,Giants,away
9,Patriots9,11/3/2024,13:00:00,Patriots,Titans,away
9,Cardinals9,11/3/2024,16:05:00,Cardinals,Bears,home
9,Bears9,11/3/2024,16:05:00,Bears,Cardinals,away
9,Packers9,11/3/2024,16:25:00,Packers,Lions,home
9,Seahawks9,11/3/2024,16:25:00,Seahawks,Rams,home
9,Lions9,11/3/2024,16:25:00,Lions,Packers,away
